Country Name,Country Code,Time,Time Code,GINI,GINIt-1,GINIt-2,Credit_GDP,GDP_growth,Inflation,FDI_GDP
Finland,FIN,2012,YR2012,27.1,27.6,27.7,165.4192089,-1.42618936,2.953564395,1.921589008
Finland,FIN,2013,YR2013,27.2,27.1,27.6,142.0590347,-0.758036295,2.551715664,-1.830026322
Finland,FIN,2014,YR2014,26.8,27.2,27.1,164.4066889,-0.631728091,1.692890248,6.32538914
Greece,GRC,2006,YR2006,35.1,34.6,33.6,107.5233241,5.65243372,3.495042612,1.979103017
Greece,GRC,2007,YR2007,34,35.1,34.6,112.0919902,3.273746857,3.422666805,0.614657039
Greece,GRC,2008,YR2008,33.6,34,35.1,115.4806189,-0.335172557,4.344583232,1.617501485
Greece,GRC,2009,YR2009,33.6,33.6,34,115.6595646,-4.300733667,2.569771121,0.83714687
Greece,GRC,2010,YR2010,34.1,33.6,33.6,147.5591136,-5.479037108,0.673371803,0.178275809
Greece,GRC,2011,YR2011,34.8,34.1,33.6,156.0096385,-9.132494153,0.798356141,0.379464972
Greece,GRC,2012,YR2012,36.3,34.8,34.1,139.1190185,-7.300493935,-0.370392027,0.677055668
Greece,GRC,2013,YR2013,36.1,36.3,34.8,137.0512811,-3.241425025,-2.352299994,1.227963495
Greece,GRC,2014,YR2014,35.8,36.1,36.3,137.7834159,0.739777123,-1.832091216,1.137746769
Ireland,IRL,2006,YR2006,32.7,33.8,33.6,172.5924193,5.521652908,3.012375446,9.514137225
Ireland,IRL,2007,YR2007,32,32.7,33.8,234.0952987,5.208771813,1.320636545,22.20717388
Ireland,IRL,2008,YR2008,30.9,32,32.7,230.646486,-3.935932427,-0.888854151,8.45704388
Ireland,IRL,2009,YR2009,32.7,30.9,32,233.6027269,-4.626788071,-5.010460078,22.82381564
Ireland,IRL,2010,YR2010,32.3,32.7,30.9,236.1321919,1.801657148,-3.221395131,17.0143763
Ireland,IRL,2011,YR2011,32.3,32.3,32.7,227.475121,2.984992365,-0.374512191,9.900871468
Ireland,IRL,2012,YR2012,32.5,32.3,32.3,204.7406464,0.037153042,2.068573218,18.15902156
Ireland,IRL,2013,YR2013,33.4,32.5,32.3,191.9397153,1.63882058,1.042383764,20.8698246
Ireland,IRL,2014,YR2014,31.9,33.4,32.5,160.9132151,8.32838729,-0.397848768,33.61718159
Latvia,LVA,2006,YR2006,35.5,39,36.4,..,11.88938537,12.40970913,7.949722828
Latvia,LVA,2007,YR2007,37.5,35.5,39,..,9.97926933,20.116005,8.781932565
Latvia,LVA,2008,YR2008,37.2,37.5,35.5,..,-3.547644225,11.75146447,4.024856371
Latvia,LVA,2009,YR2009,36,37.2,37.5,..,-14.40169178,-9.679660604,-0.123773797
Latvia,LVA,2010,YR2010,35,36,37.2,90.96949634,-3.940670306,-0.811835684,1.83308293
Latvia,LVA,2011,YR2011,35.8,35,36,79.21582685,6.381021259,6.394654453,5.316447899
Latvia,LVA,2012,YR2012,35.2,35.8,35,63.89585706,4.034628375,3.615730465,3.8359266
Latvia,LVA,2013,YR2013,35.5,35.2,35.8,60.14048723,2.579686929,1.698638836,3.264139968
Latvia,LVA,2014,YR2014,35.1,35.5,35.2,53.76343859,1.912550046,1.77630952,2.991267086
Lithuania,LTU,2006,YR2006,34.4,35.3,37,..,7.406444355,6.743987637,6.840974109
Lithuania,LTU,2007,YR2007,34.6,34.4,35.3,..,11.08695439,8.567987545,5.771451089
Lithuania,LTU,2008,YR2008,35.7,34.6,34.4,..,2.628077961,9.704806953,3.986456618
Lithuania,LTU,2009,YR2009,37.2,35.7,34.6,..,-14.81416332,-3.295134066,0.048024373
Lithuania,LTU,2010,YR2010,33.6,37.2,35.7,63.76914919,1.639819649,2.378523369,2.33111629
Lithuania,LTU,2011,YR2011,32.5,33.6,37.2,56.96504337,6.049353497,5.222087535,3.53748598
Lithuania,LTU,2012,YR2012,35.1,32.5,33.6,51.94875761,3.834901869,2.689935491,1.343452523
Lithuania,LTU,2013,YR2013,35.3,35.1,32.5,50.88272936,3.506825683,1.403167483,1.524066687
Lithuania,LTU,2014,YR2014,37.7,35.3,35.1,45.28280427,3.495016165,1.006663771,1.03918018
Luxembourg,LUX,2006,YR2006,31,30.8,30.2,152.0951348,5.178485966,7.035516419,75.96383407
Luxembourg,LUX,2007,YR2007,31.1,31,30.8,184.4380912,8.354553209,1.490136296,-58.32288048
Luxembourg,LUX,2008,YR2008,32.6,31.1,31,189.8549542,-1.279585572,3.883715788,12.74333532
Luxembourg,LUX,2009,YR2009,31.2,32.6,31.1,191.95967,-4.358607005,1.398017695,53.05599775
Luxembourg,LUX,2010,YR2010,30.5,31.2,32.6,221.1170683,4.86496856,3.616722473,73.53262074
Luxembourg,LUX,2011,YR2011,32,30.5,31.2,209.8430276,2.539234839,4.773590945,14.73745723
Luxembourg,LUX,2012,YR2012,34.3,32,30.5,204.6694903,-0.35251936,2.556496803,252.3081073
Luxembourg,LUX,2013,YR2013,32,34.3,32,188.2318886,3.654370385,1.695922765,16.97650882
Luxembourg,LUX,2014,YR2014,31.2,32,34.3,192.6031262,5.771915882,1.645842437,-15.88223131
Portugal,PRT,2006,YR2006,38.1,38.5,38.9,152.9900547,1.553053256,3.185394855,6.328223238
Portugal,PRT,2007,YR2007,36.8,38.1,38.5,162.9633102,2.492001318,2.979067503,2.509138013
Portugal,PRT,2008,YR2008,36.6,36.8,38.1,175.7418585,0.199272801,1.737715365,2.985171797
Portugal,PRT,2009,YR2009,34.9,36.6,36.8,192.272146,-2.978104267,1.096322999,2.288819188
Portugal,PRT,2010,YR2010,35.8,34.9,36.6,205.940303,1.898691176,0.64347606,3.54832691
Portugal,PRT,2011,YR2011,36.3,35.8,34.9,204.7862904,-1.826852351,-0.26957346,4.00893304
Portugal,PRT,2012,YR2012,36,36.3,35.8,201.2482704,-4.028256748,-0.397566921,10.15704951
Portugal,PRT,2013,YR2013,36.2,36,36.3,188.5542192,-1.130154643,2.267046901,4.779368877
Portugal,PRT,2014,YR2014,35.6,36.2,36,173.7344822,0.893185924,0.750279541,5.710516805
Slovak Republic,SVK,2006,YR2006,25.8,29.3,27.1,50.38673048,8.452887748,2.919035181,8.068986332
Slovak Republic,SVK,2007,YR2007,24.7,25.8,29.3,51.28683433,10.79957705,1.129145221,5.862432149
Slovak Republic,SVK,2008,YR2008,26,24.7,25.8,54.13413842,5.629779025,2.834598454,4.62687859
Slovak Republic,SVK,2009,YR2009,27.2,26,24.7,65.30098584,-5.422542313,-1.164869253,1.707853803
Slovak Republic,SVK,2010,YR2010,27.3,27.2,26,64.57971501,5.041716665,0.485295447,2.365847361
Slovak Republic,SVK,2011,YR2011,26.5,27.3,27.2,65.86157558,2.819099518,1.647678658,5.527148518
Slovak Republic,SVK,2012,YR2012,26.1,26.5,27.3,62.96193693,1.657148687,1.261755496,1.90202119
Slovak Republic,SVK,2013,YR2013,28.1,26.1,26.5,62.01814583,1.490646438,0.518528057,1.019320811
Slovak Republic,SVK,2014,YR2014,26.1,28.1,26.1,65.19578326,2.750335017,-0.160089648,-0.359042208
Slovenia,SVN,2006,YR2006,24.4,24.6,24.8,72.00863731,5.655999211,2.18824648,1.746976636
Slovenia,SVN,2007,YR2007,24.4,24.4,24.6,80.75754598,6.941645669,4.16865333,3.917583057
Slovenia,SVN,2008,YR2008,23.7,24.4,24.4,86.33716097,3.300130299,4.51224703,1.944743913
Slovenia,SVN,2009,YR2009,24.8,23.7,24.4,91.88888413,-7.797276576,3.355540741,-0.68916437
Slovenia,SVN,2010,YR2010,24.9,24.8,23.7,95.98026575,1.237755909,-0.987114141,0.664509447
Slovenia,SVN,2011,YR2011,24.9,24.9,24.8,92.3773369,0.649366928,1.119435872,1.707021412
Slovenia,SVN,2012,YR2012,25.6,24.9,24.9,92.58259469,-2.669582052,0.458813835,0.072375532
Slovenia,SVN,2013,YR2013,26.2,25.6,24.9,82.91385963,-1.132054981,1.602324383,0.216095859
Slovenia,SVN,2014,YR2014,25.7,26.2,25.6,68.10637463,2.979196038,0.793274625,2.042466544
