Country,Code,Time,Credit_GDP,GDP_growth,Low20,Low20t-1,Low20t-2,High20,High20t-1,High20t-2,Inflation,FDI_GDP,UMP
Estonia,EST,2008,95.16705502,-5.41945589,7.8,8,7.6,40.1,39.3,41.7,7.49280755,7.742610752,0
Estonia,EST,2009,103.5214236,-14.72440391,7.7,7.8,8,39.6,40.1,39.3,0.430687766,9.492747024,0
Estonia,EST,2010,96.4765268,2.259075894,7.2,7.7,7.8,39.7,39.6,40.1,1.735884047,13.3026104,1
Estonia,EST,2011,82.47721401,7.597300209,7.3,7.2,7.7,40.3,39.7,39.6,5.260896424,4.827558145,1
Estonia,EST,2012,75.31687269,4.307258988,7.3,7.3,7.2,40.7,40.3,39.7,3.159752112,7.759292018,1
Estonia,EST,2013,71.09023126,1.936543444,6.8,7.3,7.3,42.4,40.7,40.3,3.555743231,4.370606686,1
Estonia,EST,2014,71.12609419,2.890710968,7,6.8,7.3,42.1,42.4,40.7,1.472050415,6.677263791,1
Finland,FIN,2006,93.25605107,4.055197444,9.2,9.5,9.4,37.3,37.2,37.4,0.912454382,2.138794724,0
Finland,FIN,2007,98.81018737,5.184800809,9.2,9.2,9.5,37.6,37.3,37.2,2.765039571,8.608610241,0
Finland,FIN,2008,130.0943158,0.720668487,9.3,9.2,9.2,37.2,37.6,37.3,3.076884682,6.838304827,0
Finland,FIN,2009,135.9279452,-8.269036558,9.3,9.3,9.2,36.9,37.2,37.6,1.877414436,-3.509562186,0
Finland,FIN,2010,152.2490647,2.992337502,9.2,9.3,9.3,37,36.9,37.2,0.350772528,4.933997863,1
Finland,FIN,2011,189.4300271,2.570817745,9.3,9.2,9.3,37.1,37,36.9,2.584023761,-2.195369292,1
Finland,FIN,2012,165.4192089,-1.42618936,9.4,9.3,9.2,36.7,37.1,37,2.953564395,1.921589008,1
Finland,FIN,2013,142.0590347,-0.758036295,9.3,9.4,9.3,36.6,36.7,37.1,2.551715664,-1.830026322,1
Finland,FIN,2014,164.4066889,-0.631728091,9.4,9.3,9.4,36.4,36.6,36.7,1.692890248,6.32538914,1
Greece,GRC,2006,107.5233241,5.65243372,6.7,6.9,7.1,42,41.7,40.8,3.495042612,1.979103017,0
Greece,GRC,2007,112.0919902,3.273746857,7,6.7,6.9,41.1,42,41.7,3.422666805,0.614657039,0
Greece,GRC,2008,115.4806189,-0.335172557,7.1,7,6.7,40.9,41.1,42,4.344583232,1.617501485,0
Greece,GRC,2009,115.6595646,-4.300733667,7,7.1,7,40.9,40.9,41.1,2.569771121,0.83714687,0
Greece,GRC,2010,147.5591136,-5.479037108,6.7,7,7.1,41,40.9,40.9,0.673371803,0.178275809,1
Greece,GRC,2011,156.0096385,-9.132494153,6.1,6.7,7,41,41,40.9,0.798356141,0.379464972,1
Greece,GRC,2012,139.1190185,-7.300493935,5.8,6.1,6.7,42.1,41,41,-0.370392027,0.677055668,1
Greece,GRC,2013,137.0512811,-3.241425025,5.9,5.8,6.1,42.2,42.1,41,-2.352299994,1.227963495,1
Greece,GRC,2014,137.7834159,0.739777123,5.9,5.9,5.8,41.8,42.2,42.1,-1.832091216,1.137746769,1
Ireland,IRL,2006,172.5924193,5.521652908,7.8,7.7,7.6,40.8,41.8,41.4,3.012375446,9.514137225,0
Ireland,IRL,2007,234.0952987,5.208771813,8.2,7.8,7.7,40.3,40.8,41.8,1.320636545,22.20717388,0
Ireland,IRL,2008,230.646486,-3.935932427,8.2,8.2,7.8,39.3,40.3,40.8,-0.888854151,8.45704388,0
Ireland,IRL,2009,233.6027269,-4.626788071,7.7,8.2,8.2,40.7,39.3,40.3,-5.010460078,22.82381564,0
Ireland,IRL,2010,236.1321919,1.801657148,7.6,7.7,8.2,40.2,40.7,39.3,-3.221395131,17.0143763,1
Ireland,IRL,2011,227.475121,2.984992365,7.6,7.6,7.7,40.3,40.2,40.7,-0.374512191,9.900871468,1
Ireland,IRL,2012,204.7406464,0.037153042,7.8,7.6,7.6,40.6,40.3,40.2,2.068573218,18.15902156,1
Ireland,IRL,2013,191.9397153,1.63882058,7.4,7.8,7.6,41.2,40.6,40.3,1.042383764,20.8698246,1
Ireland,IRL,2014,160.9132151,8.32838729,7.9,7.4,7.8,40.1,41.2,40.6,-0.397848768,33.61718159,1
Latvia,LVA,2006,..,11.88938537,6.8,5.9,6.4,42.5,45.5,43.5,12.40970913,7.949722828,0
Latvia,LVA,2007,..,9.97926933,6.4,6.8,5.9,44.1,42.5,45.5,20.116005,8.781932565,0
Latvia,LVA,2008,..,-3.547644225,6.1,6.4,6.8,43.5,44.1,42.5,11.75146447,4.024856371,0
Latvia,LVA,2009,..,-14.40169178,5.9,6.1,6.4,42.6,43.5,44.1,-9.679660604,-0.123773797,0
Latvia,LVA,2010,90.96949634,-3.940670306,6.2,5.9,6.1,41.7,42.6,43.5,-0.811835684,1.83308293,1
Latvia,LVA,2011,79.21582685,6.381021259,6.4,6.2,5.9,42.8,41.7,42.6,6.394654453,5.316447899,1
Latvia,LVA,2012,63.89585706,4.034628375,6.5,6.4,6.2,42.3,42.8,41.7,3.615730465,3.8359266,1
Latvia,LVA,2013,60.14048723,2.579686929,6.5,6.5,6.4,42.5,42.3,42.8,1.698638836,3.264139968,1
Latvia,LVA,2014,53.76343859,1.912550046,6.6,6.5,6.5,42.2,42.5,42.3,1.77630952,2.991267086,1
Lithuania,LTU,2006,..,7.406444355,6.9,6.4,5.8,42,42.6,43.7,6.743987637,6.840974109,0
Lithuania,LTU,2007,..,11.08695439,6.9,6.9,6.4,41.8,42,42.6,8.567987545,5.771451089,0
Lithuania,LTU,2008,..,2.628077961,6.6,6.9,6.9,42.8,41.8,42,9.704806953,3.986456618,0
Lithuania,LTU,2009,..,-14.81416332,5.7,6.6,6.9,43.4,42.8,41.8,-3.295134066,0.048024373,0
Lithuania,LTU,2010,63.76914919,1.639819649,6.5,5.7,6.6,40.3,43.4,42.8,2.378523369,2.33111629,1
Lithuania,LTU,2011,56.96504337,6.049353497,7.1,6.5,5.7,39.9,40.3,43.4,5.222087535,3.53748598,1
Lithuania,LTU,2012,51.94875761,3.834901869,6.5,7.1,6.5,42,39.9,40.3,2.689935491,1.343452523,1
Lithuania,LTU,2013,50.88272936,3.506825683,6.7,6.5,7.1,42.5,42,39.9,1.403167483,1.524066687,1
Lithuania,LTU,2014,45.28280427,3.495016165,6,6.7,6.5,44.1,42.5,42,1.006663771,1.03918018,1
